_id_|RATE POSTED|SHIPPER NAME|SHIPPER CONTACT NUMBER|EQUIPMENT TYPE|PICKUP DATE|ORIGIN CITY|Origin State|DEST CITY|Dest State|Weight
1557288923|800|PDX FREIGHT LOGISTICS LLC|503-303-0400|FVR|DAILY|portland|or|portland|OR|
1570837653|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|DAILY|PARKER|WA|SEATTLE|WA|44500
1574088799||TOTAL QUALITY LOGISTICS LLC|800-580-3101|V|DAILY|Algona|WA|Puyallup|WA|19000
1575170923||PACWEST FREIGHT|360-773-8159|V|DAILY|Portland|OR|Portland|OR|
1575231355|725|Client Advantage Logistics LLC|702-985-2254|VVR|DAILY|Hermiston|OR|Seattle|WA|
1575231356|675|Client Advantage Logistics LLC|702-985-2254|VVR|DAILY|Hermiston|OR|Portland|OR|
1578170676|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|DAILY|PARKER|WA|FEDERAL WAY|WA|44500
1578170745|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|DAILY|PARKER|WA|AUBURN|WA|44500
1578171201|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|DAILY|PARKER|WA|ISSAQUAH|WA|44500
1578826309|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|DAILY|PARKER|WA|LACEY|WA|44500
1579239923|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|DAILY|PARKER|WA|VANCOUVER|WA|44500
1579245675|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|DAILY|PARKER|WA|MCMINNVILLE|OR|44500
1579252962|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|DAILY|PARKER|WA|RENTON|WA|44500
