_id_|RATE PER MILE|RATE POSTED|MARKET RATE|SHIPPER NAME|SHIPPER CONTACT NUMBER|EQUIPMENT TYPE|PICKUP DATE|ORIGIN CITY|DIST FROM ORIGIN|DEST CITY|DISTANCE FROM DESTINATION|WEIGHT|MILES
2|||$820|LANDSTAR|903-965-9800|V|Jul-21|BISHOP|142|BAYTOWN|40|44800 |253
6|$1.52|$500||MEADOW L|406-281-8964|V|Jul-21|MINERAL WELLS|48|BAYTOWN|0|13200 |329
7|$1.67|$550||MEADOW L|406-281-8964|V|Jul-21|MINERAL WELLS|48|BAYTOWN|29|13200 |329
8|$1.52|$500||MEADOW L|406-200-7600|V|Jul-21|MINERAL WELLS|48|BAYTOWN|29||329
9|$1.67|$550||MEADOW L|406-281-8964|V|Jul-21|MINERAL WELLS|48|BAYTOWN|29|13200 |329
10|$1.52|$500||MEADOW L|406-281-8964|V|Jul-21|MINERAL WELLS|48|BAYTOWN|29|13200 |329
11|$1.67|$550||MEADOW L|406-281-8964|V|Jul-21|MINERAL WELLS|48|BAYTOWN|29|13200 |329
12|$1.52|$500||MEADOW L|406-200-7600|V|Jul-21|MINERAL WELLS|48|BAYTOWN|29||329
13|$1.67|$550||MEADOW L|406-281-8964|V|Jul-21|MINERAL WELLS|48|BAYTOWN|29|13200 |329
14|$1.52|$500||MEADOW L|406-281-8964|V|Jul-21|MINERAL WELLS|82|BAYTOWN|29|13200 |329
15|$1.67|$550||MEADOW L|406-281-8964|V|Jul-21|MINERAL WELLS|82|BAYTOWN|29|13200 |329
16|$1.52|$500||MEADOW L|406-200-7600|V|Jul-21|MINERAL WELLS|82|BAYTOWN|29||329
17|$1.67|$550||MEADOW L|406-281-8964|V|Jul-21|MINERAL WELLS|82|BAYTOWN|29|13200 |329
18|$3.64|$900||KING OF|316-530-5111|V|Jul-21|MONROE|94|BEAUMONT|86||247
19|||$647|C H ROBI|833-428-5247|V|Jul-21|CLEBURNE|31|BRENHAM|29|11505 |185
20|||$647|C H ROBI|833-428-5247|V|Jul-21|CLEBURNE|31|BRENHAM|70|11505 |185
21|||$647|C H ROBI|833-428-5247|V|Jul-21|CLEBURNE|53|BRENHAM|70|11505 |185
22|$2.10|$600||PEPSI LO|888-752-4669|V|Jul-21|ARLINGTON|15|BROOKSHIRE|0||286
23|||$664|EPES LOG|866-247-0691|V|Jul-21|DALLAS|33|BROOKSHIRE|35|41958 |270
24|||$664|EPES LOG|866-247-0691|V|Jul-21|DALLAS|33|BROOKSHIRE|35|41958 |270
25|||$664|EPES LOG|866-247-0691|V|Jul-21|DALLAS|33|BROOKSHIRE|35|41958 |270
26|||$664|EPES LOG|866-247-0691|V|Jul-21|DALLAS|33|BROOKSHIRE|35|41958 |270
27|||$664|EPES LOG|866-247-0691|V|Jul-21|DALLAS|0|BROOKSHIRE|35|41958 |270
28|||$664|EPES LOG|866-247-0691|V|Jul-21|DALLAS|0|BROOKSHIRE|35|41958 |270
29|||$664|ROAR LOG|716-775-6208|VR|Jul-21|FORT WORTH|0|BROOKSHIRE|97|26184 |256
30|||$664|ROAR LOG|716-775-6208|VR|Jul-21|FORT WORTH|0|BROOKSHIRE|35|26184 |256
31|||$664|ROAR LOG|716-775-6208|VR|Jul-21|FORT WORTH|33|BROOKSHIRE|35|26184 |256
32|||$840|ALLEN LU|800-990-5863|VR|Jul-21|LAREDO|149|BROOKSHIRE|93|40578 |314
33|||$691|SCHNEIDE|800-558-3957|V|Jul-21|LEWISVILLE|30|BROOKSHIRE|35|36900 |292
34|||$691|SCHNEIDE|800-558-3957|V|Jul-21|LEWISVILLE|30|BROOKSHIRE|35|36900 |292
35|||$691|SCHNEIDE|800-558-3957|V|Jul-21|LEWISVILLE|22|BROOKSHIRE|35|36900 |292
