Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","9","TA SERVI","205-702-6809","KENT, WA","CANBY, OR","32.3076540693701","184","401.27963486481"
"veh-25702197","25702197","PORTLAND, OR","ANCHORAGE, AK","","10","APEX LOG","801-924-1850","KENT, WA","CENTRALIA, WA","96.5669156300098","274","295.813706223255"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","1","AMERICAN","253-256-4748","KENT, WA","PORTLAND, OR","22.3290292915108","151","423.922412102684"
"veh-25702196","25702196","PORTLAND, OR","PENDLETON, OR","","2","AMERICAN","253-256-4748","KENT, WA","RIDGEFIELD, WA","230.47336175078","429","86.7574331340798"
"veh-25704314","25704314","MILWAUKIE, OR","MEDFORD, OR","","23","INTERNAT","800-652-1682","MEDFORD, OR","PORTLAND, OR","46.6265674127282","168","1627.65265045298"
"veh-25705310","25705310","MILWAUKIE, OR","EUGENE, OR","","19","HUB HIGH","412-787-6248","MOLALLA, OR","ALBANY, OR","113.727987870804","286","271.611640979118"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","5","USA TRUC","253-765-2075","PUYALLUP, WA","CAMAS, WA","18.6567164179104","206","410.142407960199"
"veh-25705322","25705322","PORTLAND, OR","ANCHORAGE, AK","","8","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","30.1949867647607","197","342.491248950916"
"veh-25705311","25705311","MILWAUKIE, OR","ARLINGTON, WA","","6","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","83.7455105819777","268","312.918964179933"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","3","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","83.2229361104552","278","310.242268722996"
"veh-25705322","25705322","PORTLAND, OR","ANCHORAGE, AK","","4","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","104.842979109449","297","278.473284650851"
"veh-25704314","25704314","MILWAUKIE, OR","MEDFORD, OR","","24","INTERNAT","800-652-1682","REDDING, CA","PORTLAND, OR","134.955323300235","396","210.336718505723"
"veh-25705321","25705321","PORTLAND, OR","EUGENE, OR","","18","C H ROBI","833-428-5247","SALEM, OR","LONGVIEW, WA","98.4627238495284","220","311.360652524223"
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","13","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","38.4791280897759","202","488.069295520731"
"veh-25702197","25702197","PORTLAND, OR","ANCHORAGE, AK","","15","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","86.0595026532616","248","416.775120202485"
"veh-25705307","25705307","MILWAUKIE, OR","UNION GAP, WA","","14","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","175.582536940609","144","345.388606410081"
"veh-25702196","25702196","PORTLAND, OR","PENDLETON, OR","","25","COVENANT","423-702-2844","SELAH, WA","WOODBURN, OR","182.78983931301","464","331.497322943981"
"veh-25705311","25705311","MILWAUKIE, OR","ARLINGTON, WA","","12","PEPSI LO","888-752-4669","TACOMA, WA","CENTRALIA, WA","23.0833757938037","235","395.368283229978"
"veh-25705307","25705307","MILWAUKIE, OR","UNION GAP, WA","","11","PEPSI LO","888-752-4669","TACOMA, WA","CENTRALIA, WA","115.86364596667","112","326.395564425997"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","16","PLS LOGI","888-385-2210","TACOMA, WA","PORTLAND, OR","43.7427765419365","247","367.038190347182"
"veh-25704314","25704314","MILWAUKIE, OR","MEDFORD, OR","","22","HIGH MOU","530-938-3014","WEED, CA","PORTLAND, OR","134.955323300235","396","210.336718505723"
