Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","7","AMERICAN","253-256-4748","KENT, WA","RIDGEFIELD, WA","2.9018106801546","149","447.505196730751"
"veh-25705310","25705310","MILWAUKIE, OR","EUGENE, OR","","1","HUB HIGH","412-787-6248","MOLALLA, OR","ALBANY, OR","113.727987870804","286","271.611640979118"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","20","USA TRUC","253-765-2075","PUYALLUP, WA","CAMAS, WA","18.6567164179104","206","410.142407960199"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","9","USA TRUC","253-765-2075","PUYALLUP, WA","CAMAS, WA","18.6567164179104","206","410.142407960199"
"veh-25702197","25702197","PORTLAND, OR","ANCHORAGE, AK","","26","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","30.1949867647607","197","342.491248950916"
"veh-25705322","25705322","PORTLAND, OR","ANCHORAGE, AK","","15","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","30.1949867647607","197","342.491248950916"
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","19","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","83.2229361104552","278","310.242268722996"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","24","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","83.2229361104552","278","310.242268722996"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","8","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","95.7802577454112","285","293.119295860415"
"veh-25702197","25702197","PORTLAND, OR","ANCHORAGE, AK","","13","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","104.842979109449","297","278.473284650851"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","23","USA TRUC","253-765-2075","PUYALLUP, WA","VANCOUVER, WA","10.6813973430102","198","422.187951135248"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","11","USA TRUC","253-765-2075","PUYALLUP, WA","VANCOUVER, WA","14.6662607031454","222","409.581812370289"
"veh-25702197","25702197","PORTLAND, OR","ANCHORAGE, AK","","12","USA TRUC","253-765-2075","PUYALLUP, WA","VANCOUVER, WA","19.7441187070476","210","407.541939925684"
"veh-25705322","25705322","PORTLAND, OR","ANCHORAGE, AK","","22","USA TRUC","253-765-2075","PUYALLUP, WA","VANCOUVER, WA","19.7441187070476","210","407.541939925684"
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","10","USA TRUC","253-765-2075","PUYALLUP, WA","WILSONVILLE, OR","31.9410441547467","226","387.880234564066"
"veh-25705322","25705322","PORTLAND, OR","ANCHORAGE, AK","","21","USA TRUC","253-765-2075","PUYALLUP, WA","WILSONVILLE, OR","53.0086867908584","233","360.71508292012"
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","5","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","38.4791280897759","202","488.069295520731"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","6","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","38.4791280897759","202","488.069295520731"
"veh-25702197","25702197","PORTLAND, OR","ANCHORAGE, AK","","4","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","86.0595026532616","248","416.775120202485"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","16","PLS LOGI","888-385-2210","TACOMA, WA","PORTLAND, OR","38.2920948960443","257","370.176661356001"
"veh-25705321","25705321","PORTLAND, OR","EUGENE, OR","","3","AGFORCE","844-713-6723","WILSONVILLE, OR","RIDGEFIELD, WA","37.4780966110331","160","403.082512665648"
