Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit
"veh-25702196","25702196","PORTLAND, OR","PENDLETON, OR","","7","AMERICAN","253-256-4748","KENT, WA","RIDGEFIELD, WA","230.47336175078","429","86.7574331340798"
"veh-25704314","25704314","MILWAUKIE, OR","MEDFORD, OR","","29","INTERNAT","800-652-1682","MEDFORD, OR","PORTLAND, OR","46.6265674127282","168","1627.65265045298"
"veh-25705310","25705310","MILWAUKIE, OR","EUGENE, OR","","1","HUB HIGH","412-787-6248","MOLALLA, OR","ALBANY, OR","113.727987870804","286","271.611640979118"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","9","USA TRUC","253-765-2075","PUYALLUP, WA","CAMAS, WA","18.6567164179104","206","410.142407960199"
"veh-25702197","25702197","PORTLAND, OR","ANCHORAGE, AK","","20","USA TRUC","253-765-2075","PUYALLUP, WA","CAMAS, WA","27.7194377819479","218","395.496396750635"
"veh-25705311","25705311","MILWAUKIE, OR","ARLINGTON, WA","","26","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","25.6390818596443","198","347.53788340562"
"veh-25705322","25705322","PORTLAND, OR","ANCHORAGE, AK","","15","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","30.1949867647607","197","342.491248950916"
"veh-25705311","25705311","MILWAUKIE, OR","ARLINGTON, WA","","13","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","83.7455105819777","268","312.918964179933"
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","8","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","83.2229361104552","278","310.242268722996"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","24","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","83.2229361104552","278","310.242268722996"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","19","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","83.2229361104552","278","310.242268722996"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","23","USA TRUC","253-765-2075","PUYALLUP, WA","VANCOUVER, WA","10.6813973430102","198","422.187951135248"
"veh-25702197","25702197","PORTLAND, OR","ANCHORAGE, AK","","12","USA TRUC","253-765-2075","PUYALLUP, WA","VANCOUVER, WA","19.7441187070476","210","407.541939925684"
"veh-25705322","25705322","PORTLAND, OR","ANCHORAGE, AK","","22","USA TRUC","253-765-2075","PUYALLUP, WA","VANCOUVER, WA","19.7441187070476","210","407.541939925684"
"veh-25705307","25705307","MILWAUKIE, OR","UNION GAP, WA","","11","USA TRUC","253-765-2075","PUYALLUP, WA","VANCOUVER, WA","119.718021052108","108","323.164735158512"
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","10","USA TRUC","253-765-2075","PUYALLUP, WA","WILSONVILLE, OR","31.9410441547467","226","387.880234564066"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","21","USA TRUC","253-765-2075","PUYALLUP, WA","WILSONVILLE, OR","43.9459654268209","221","375.361094129685"
"veh-25704314","25704314","MILWAUKIE, OR","MEDFORD, OR","","30","INTERNAT","800-652-1682","REDDING, CA","PORTLAND, OR","134.955323300235","396","210.336718505723"
"veh-25705311","25705311","MILWAUKIE, OR","ARLINGTON, WA","","4","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","12.9960107870307","161","531.642040604637"
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","6","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","38.4791280897759","202","488.069295520731"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","5","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","38.4791280897759","202","488.069295520731"
"veh-25705307","25705307","MILWAUKIE, OR","UNION GAP, WA","","17","COVENANT","423-702-2844","SELAH, WA","WOODBURN, OR","85.9892875340202","44","384.04197404319"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","16","PLS LOGI","888-385-2210","TACOMA, WA","PORTLAND, OR","38.2920948960443","257","370.176661356001"
"veh-25704314","25704314","MILWAUKIE, OR","MEDFORD, OR","","28","HIGH MOU","530-938-3014","WEED, CA","PORTLAND, OR","134.955323300235","396","210.336718505723"
"veh-25705321","25705321","PORTLAND, OR","EUGENE, OR","","3","AGFORCE","844-713-6723","WILSONVILLE, OR","RIDGEFIELD, WA","37.4780966110331","160","403.082512665648"
