_id_|RATE POSTED|SHIPPER NAME|SHIPPER CONTACT NUMBER|EQUIPMENT TYPE|PICKUP DATE|ORIGIN CITY|Origin State|DEST CITY|Dest State|Weight
1||HUB HIGH|412-787-6248|V|2020-08-07|MOLALLA|OR|ALBANY|OR|
2|400|CORNERST|833-286-9251|V|2020-08-07|FOREST GROVE|OR|CENTRALIA|WA|35000
3||AGFORCE|844-713-6723|V|2020-08-07|WILSONVILLE|OR|RIDGEFIELD|WA|36000
4|600|COWAN SY|929-201-2607|V|2020-08-07|SEATTLE|WA|SAINT HELENS|OR|44000
5|600|COWAN SY|929-201-2607|V|2020-08-07|SEATTLE|WA|SAINT HELENS|OR|44000
6|600|COWAN SY|929-201-2607|V|2020-08-07|SEATTLE|WA|SAINT HELENS|OR|44000
7||AMERICAN|253-256-4748|VR|2020-08-07|KENT|WA|RIDGEFIELD|WA|
8||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|SALEM|OR|45355
9||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|CAMAS|WA|44853
10||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|WILSONVILLE|OR|45355
11||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|VANCOUVER|WA|43603
12||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|VANCOUVER|WA|43443
13||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|SALEM|OR|45216
14||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|ALOHA|OR|45355
15||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|PORTLAND|OR|45007
16||PLS LOGI|888-385-2210|V|2020-08-07|TACOMA|WA|PORTLAND|OR|
17||COVENANT|423-702-2844|VR|2020-08-07|SELAH|WA|WOODBURN|OR|
18|500|RITEWAY|256-846-2639|V|2020-08-07|UNION GAP|WA|DAYTON|OR|10000
19||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|SALEM|OR|45355
20||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|CAMAS|WA|44853
21||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|WILSONVILLE|OR|45355
22||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|VANCOUVER|WA|43603
23||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|VANCOUVER|WA|43443
24||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|SALEM|OR|45216
25||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|ALOHA|OR|45355
26||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|PORTLAND|OR|45007
27|750|HWY HEAV|503-476-2975|FSDV|2020-08-07|REDDING|CA|KALAMA|WA|5200
28||HIGH MOU|530-938-3014|V|2020-08-07|WEED|CA|PORTLAND|OR|43000
29||INTERNAT|800-652-1682|VR|2020-08-07|MEDFORD|OR|PORTLAND|OR|43380
30||INTERNAT|800-652-1682|VR|2020-08-07|REDDING|CA|PORTLAND|OR|43380
