_id_|RATE POSTED|SHIPPER NAME|SHIPPER CONTACT NUMBER|EQUIPMENT TYPE|PICKUP DATE|ORIGIN CITY|Origin State|DEST CITY|Dest State|Weight
1||AMERICAN|253-256-4748|VR|2020-08-07|KENT|WA|PORTLAND|OR|
2||AMERICAN|253-256-4748|VR|2020-08-07|KENT|WA|RIDGEFIELD|WA|
3||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|SALEM|OR|45355
4||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|SALEM|OR|45355
5||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|CAMAS|WA|44853
6||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|SALEM|OR|45216
7||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|ALOHA|OR|45355
8||USA TRUC|253-765-2075|V|2020-08-07|PUYALLUP|WA|PORTLAND|OR|45007
9||TA SERVI|205-702-6809|VR|2020-08-07|KENT|WA|CANBY|OR|43500
10||APEX LOG|801-924-1850|V|2020-08-07|KENT|WA|CENTRALIA|WA|
11||PEPSI LO|888-752-4669|VR|2020-08-07|TACOMA|WA|CENTRALIA|WA|
12||PEPSI LO|888-752-4669|VR|2020-08-07|TACOMA|WA|CENTRALIA|WA|
13|600|COWAN SY|929-201-2607|V|2020-08-07|SEATTLE|WA|SAINT HELENS|OR|44000
14|600|COWAN SY|929-201-2607|V|2020-08-07|SEATTLE|WA|SAINT HELENS|OR|44000
15|600|COWAN SY|929-201-2607|V|2020-08-07|SEATTLE|WA|SAINT HELENS|OR|44000
16||PLS LOGI|888-385-2210|V|2020-08-07|TACOMA|WA|PORTLAND|OR|
17||AGFORCE|844-713-6723|V|2020-08-07|LYONS|OR|LACEY|WA|22000
18||C H ROBI|833-428-5247|V|2020-08-07|SALEM|OR|LONGVIEW|WA|43500
19||HUB HIGH|412-787-6248|V|2020-08-07|MOLALLA|OR|ALBANY|OR|
20|400|CORNERST|833-286-9251|V|2020-08-07|FOREST GROVE|OR|CENTRALIA|WA|35000
21|750|HWY HEAV|503-476-2975|FSDV|2020-08-07|REDDING|CA|KALAMA|WA|5200
22||HIGH MOU|530-938-3014|V|2020-08-07|WEED|CA|PORTLAND|OR|43000
23||INTERNAT|800-652-1682|VR|2020-08-07|MEDFORD|OR|PORTLAND|OR|43381
24||INTERNAT|800-652-1682|VR|2020-08-07|REDDING|CA|PORTLAND|OR|43381
25|700|COVENANT|423-702-2844|VR|2020-08-07|SELAH|WA|WOODBURN|OR|
26|550|RITEWAY|256-846-2639|V|2020-08-07|UNION GAP|WA|DAYTON|OR|10000
