Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","9","TA SERVI","205-702-6809","KENT, WA","CANBY, OR","32.3076540693701","184","401.27963486481"
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","10","APEX LOG","801-924-1850","KENT, WA","CENTRALIA, WA","2.85085811574931","175","439.002654090083"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","1","AMERICAN","253-256-4748","KENT, WA","PORTLAND, OR","22.3290292915108","151","423.922412102684"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","2","AMERICAN","253-256-4748","KENT, WA","RIDGEFIELD, WA","2.9018106801546","149","447.505196730751"
"veh-25705310","25705310","MILWAUKIE, OR","EUGENE, OR","","19","HUB HIGH","412-787-6248","MOLALLA, OR","ALBANY, OR","113.727987870804","286","271.611640979118"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","5","USA TRUC","253-765-2075","PUYALLUP, WA","CAMAS, WA","18.6567164179104","206","410.142407960199"
"veh-25705322","25705322","PORTLAND, OR","ANCHORAGE, AK","","8","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","30.1949867647607","197","342.491248950916"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","4","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","83.2229361104552","278","310.242268722996"
"veh-25702197","25702197","PORTLAND, OR","ANCHORAGE, AK","","6","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","104.842979109449","297","278.473284650851"
"veh-25705322","25705322","PORTLAND, OR","ANCHORAGE, AK","","3","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","104.842979109449","297","278.473284650851"
"veh-25705321","25705321","PORTLAND, OR","EUGENE, OR","","18","C H ROBI","833-428-5247","SALEM, OR","LONGVIEW, WA","98.4627238495284","220","311.360652524223"
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","15","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","38.4791280897759","202","488.069295520731"
"veh-25702197","25702197","PORTLAND, OR","ANCHORAGE, AK","","14","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","86.0595026532616","248","416.775120202485"
"veh-25705322","25705322","PORTLAND, OR","ANCHORAGE, AK","","13","COWAN SY","929-201-2607","SEATTLE, WA","SAINT HELENS, OR","86.0595026532616","248","416.775120202485"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","12","PEPSI LO","888-752-4669","TACOMA, WA","CENTRALIA, WA","25.8752034995712","234","392.403259870506"
"veh-25702197","25702197","PORTLAND, OR","ANCHORAGE, AK","","11","PEPSI LO","888-752-4669","TACOMA, WA","CENTRALIA, WA","36.2241664284738","247","375.910150281068"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","16","PLS LOGI","888-385-2210","TACOMA, WA","PORTLAND, OR","43.7427765419365","247","367.038190347182"
