_id_|RPM|RATE|Market rate|COMPANY|PHONE|TRLR|PICKUP|ORIGIN CITY|DIST|DESTINATION CITY|DIST|WEIGHT|MILES
1||||MANDUJAN|432-940-9968|VV|DAILY|COYANOSA|31|SAN ANTONIO|195||342
2||||MANDUJAN|432-940-9968|VR|DAILY|COYANOSA|31|SAN ANTONIO|195||342
3||||PLS LOGI|469-513-4852|FV|Jul-24|AMARILLO|0|FORT WORTH|260||340
4||||TOTAL QU|800-580-3101|V|Jul-24|ARLINGTON|0|DALLAS|238|35000 |21
5||||CIRCLE L|260-918-9518|V|Jul-24|AUSTIN|0|DALLAS|241|40000 |196
6||||CIRCLE L|260-918-9518|V|Jul-24|AUSTIN|0|DALLAS|241|40000 |196
7||||AUTHENTI|708-578-1001 EX|V|Jul-24|AUSTIN|0|DALLAS|241|43000 |196
8||||XPO LOGI|800-397-7305|V|Jul-24|AUSTIN|0|FORNEY|239|44000 |216
9||||LANDSTAR|972-885-2682|V|Jul-24|BAYTOWN|0|LONGVIEW|208|43000 |226
10||||LANDSTAR|985-705-7210|V|Jul-24|BAYTOWN|0|SHREVEPORT|232|40500 |258
11||||MANNING'|800-228-2761|V|Jul-24|BAYTOWN|0|SHREVEPORT|232|44500 |258
12||||FETCH LO|866-383-0030|V|Jul-24|BRENHAM|0|KATY|22|45000 |53
13||||PLS LOGI|314-768-9360|V|Jul-24|BRENHAM|0|SHREVEPORT|237||279
14|$2.01|$1,500||TRINITY|800-315-1407|VR|Jul-24|BROWNSVILLE|0|HOUSTON|0|32074 |356
15|$2.39|$700||SCHNEIDE|800-558-3957|V|Jul-24|BROWNSVILLE|0|FORT WORTH|260|45000 |538
16||||J H ROSE|956-217-5260|VR|Jul-24|BROWNSVILLE|0|FORT WORTH|260||537
17|$2.25|$1,200||RECOUP I|732-744-1411|V|DAILY|BROWNSVILLE|0|HOUSTON|0|45000 |356
18|$1.83|$800||COYOTE L|773-799-2118|VR|Jul-24|BRYAN|0|COPPELL|259|42134 |196
19||||TANDEM L|512-388-9433|VR|Jul-24|BRYAN|0|NEW BRAUNFELS|176|43000 |150
20|$2.30|$450||C H ROBI|833-428-5247|V|Jul-24|CARROLLTON|0|CAMPTI|257|43500 |263
21|$2.30|$450||C H ROBI|833-428-5247|V|Jul-24|CARROLLTON|0|CAMPTI|257|43500 |263
22||||C H ROBI|833-428-5247|V|Jul-24|CARROLLTON|0|CAMPTI|257|43500 |263
23||||TANDEM L|512-388-9433|V|Jul-24|COPPELL|0|DALLAS|241|40000 |23
