Vehicle|ShipmentId|Backhaul Origin|Backhaul Destination||MatchId|ShipperName|ShipperContact|Match Origin|Match Destination|Inc. miles|Inc. Minutes|Benefit|||Inc Miles|Inc Minutes|Benefit
veh-25633991|25633991|#N/A|#N/A||25633991-493|RYAN TRA|888-492-3628|HOUSTON, TX|MABANK, TX|99.116407968484|238|404.661305263856||Match 1|5813.65963686977|16153|38564.0519390889
veh-25633991||||||||||||||Match 2|2106.91712130439|6877|19084.0898306138
veh-25633991||||||||||||||Match 3|0|0|0
veh-25633991||||||||||||||Match 4|0|0|0
veh-25633991||||||||||||||Match 5|0|0|0
veh-25633998|25633998|HOUSTON, TX|AUSTIN, TX||25633998-12|DJM LOGI|773-649-3286|BAYTOWN, TX|ALLEN, TX|11.2536816334647|139|540.943322339178|||||
veh-25633998|||||||||||||||||
veh-25633998|||||||||||||||||
veh-25633998|||||||||||||||||
veh-25633998|||||||||||||||||
veh-25634006|25634006|#N/A|#N/A||25634006-28|VITAL TR|330-983-9962|CARROLLTON, TX|MANOR, TX|25.8012601439099|155|518.50784636352|||||
veh-25634006|25634006|#N/A|#N/A||25634006-534|PLS LOGI|888-385-2210|LANCASTER, TX|TYLER, TX|19.6161159232978|150|527.452983210509|||||
veh-25634006|||||||||||||||||
veh-25634006|||||||||||||||||
veh-25634006|||||||||||||||||
veh-25634014|25634014|#N/A|#N/A||25634014-498|LOGISTIC|716-277-0442|HOUSTON, TX|WACO, TX|26.1802975132663|157|420.401915601012|||||
veh-25634014|||||||||||||||||
veh-25634014|||||||||||||||||
veh-25634014|||||||||||||||||
veh-25634014|||||||||||||||||
veh-25634016|25634016|#N/A|#N/A||25634016-229|TOTAL QU|800-580-3101|LAREDO, TX|TEMPLE, TX|26.1802975132663|157|517.401915601012|||||
veh-25634016|||||||||||||||||
veh-25634016|||||||||||||||||
veh-25634016|||||||||||||||||
veh-25634016|||||||||||||||||
veh-25634017|25634017|#N/A|#N/A||25634017-348|AXLE LOG|888-500-1699|WALLER, TX|CARROLLTON, TX|26.1802975132663|157|517.401915601012|||||
veh-25634017|||||||||||||||||
veh-25634017|||||||||||||||||
veh-25634017|||||||||||||||||
veh-25634017|||||||||||||||||
veh-25634024|25634024|#N/A|#N/A||25634024-404|COYOTE L|773-799-2118|BRADY, TX|LANCASTER, TX|14.6991934581878|150|533.254951719338|||||
veh-25634024|25634024|#N/A|#N/A||25634024-292|C H ROBI|833-428-5247|ODEM, TX|SAN ANTONIO, TX|9.18264630221085|138|343.716477363391|||||
veh-25634024|||||||||||||||||
veh-25634024|||||||||||||||||
veh-25634024|||||||||||||||||
veh-25634025|25634025|#N/A|#N/A||25634025-426|COWAN SY|866-385-4203|DALLAS, TX|HOUSTON, TX|9.18264630221085|138|625.716477363391|||||
veh-25634025|25634025|#N/A|#N/A||25634025-303|LANDSTAR|479-435-7315|PASADENA, TX|BEN WHEELER, TX|55.9713919992046|191|471.051090774272|||||
veh-25634025|||||||||||||||||
veh-25634025|||||||||||||||||
veh-25634025|||||||||||||||||
veh-25639588|25639588|#N/A|#N/A||25639588-420|REDHAWK|614-487-8500|DALLAS, TX|BLUM, TX|11.2536816334647|139|540.943322339178|||||
veh-25639588|||||||||||||||||
veh-25639588|||||||||||||||||
veh-25639588|||||||||||||||||
veh-25639588|||||||||||||||||
veh-25641981|||||||||||||||||
veh-25641981|||||||||||||||||
veh-25641981|||||||||||||||||
veh-25641981|||||||||||||||||
veh-25641981|||||||||||||||||
veh-25642160|||||||||||||||||
veh-25642160|||||||||||||||||
veh-25642160|||||||||||||||||
veh-25642160|||||||||||||||||
veh-25642160|||||||||||||||||
veh-25649038|25649038|#N/A|#N/A||25649038-220|AAFG LLC|5126650995|LAREDO, TX|DALLAS, TX|26.1802975132663|157|517.401915601012|||||
veh-25649038|||||||||||||||||
veh-25649038|||||||||||||||||
veh-25649038|||||||||||||||||
veh-25649038|||||||||||||||||
veh-25649041|25649041|#N/A|#N/A||25649041-497|CHOPTANK|800-568-2240|HOUSTON, TX|TYLER, TX|26.1802975132663|157|167.401915601012|||||
veh-25649041|||||||||||||||||
veh-25649041|||||||||||||||||
veh-25649041|||||||||||||||||
veh-25649041|||||||||||||||||
