ob_order_id|shipment_id|origin_ib|destination_ib|pick_up_date_time_ib|delivery_date_time_ib|origin_ob|destination_ob|origin_ob_geo|destination_ob_geo|pick_up_date_time_ob|delivery_date_time_ob|client_name|freight_rate|benefit|state|radius|equipment_type|status|cdty_cd|srvc_cd|carr|pull_tm|schd_drop|contact|weight|email|quantity|cube|total_time|incremental_time|incremental_distance|expense
|25544664|HOUSTON, TX|CORPUS CHRISTI, TX|2020-07-21 09:00:01|2020-07-21 12:42:48|BISHOP, TX|BAYTOWN, TX|27.60549;-97.78572|29.74877;-94.94389|2020-07-21 14:39:46 |2020-07-21 19:09:40 |LANDSTAR|820|621.139089713796|TX|213.543323934721|Van|PASSED|DRY|DAY CAB|HTN|2020-07-21 09:00:01|2020-07-21 12:42:48|903-965-9800|44800 |unknown-email|unknown-quantity|what-is-this|11.5733333333333|4.15|99.031279903563|198.860910286204
|25632348|HOUSTON, TX|FORT WORTH, TX|2020-07-21 09:00:01|2020-07-21 13:18:50|BURLESON, TX|HOUSTON, TX|32.535841;-97.30681|29.711257;-95.304936|2020-07-21 14:36:27 |2020-07-21 18:57:08 |ASCENT G|681|612.022795299108|TX|231.132431793784|Van|PASSED|DRY|DAY CAB|HTN|2020-07-21 09:00:01|2020-07-21 13:18:50|800-572-6267||unknown-email|unknown-quantity|what-is-this|11.165|2.53333333333333|16.0326593510383|68.9772047008919
|25636970|HOUSTON, TX|FORT WORTH, TX|2020-07-21 09:00:01|2020-07-21 13:18:50|BURLESON, TX|HOUSTON, TX|32.535841;-97.30681|29.711257;-95.304936|2020-07-21 14:36:27 |2020-07-21 18:57:08 |ASCENT G|681|612.022795299108|TX|231.132431793784|Van|PASSED|DRY|DAY CAB|HTN|2020-07-21 09:00:01|2020-07-21 13:18:50|800-572-6267|40802 |unknown-email|unknown-quantity|what-is-this|11.165|2.53333333333333|16.0326593510383|68.9772047008919
|25636972|HOUSTON, TX|FORT WORTH, TX|2020-07-21 09:00:01|2020-07-21 13:18:50|BURLESON, TX|HOUSTON, TX|32.535841;-97.30681|29.711257;-95.304936|2020-07-21 14:36:27 |2020-07-21 18:57:08 |ASCENT G|681|612.022795299108|TX|231.132431793784|Van|PASSED|DRY|DAY CAB|HTN|2020-07-21 09:00:01|2020-07-21 13:18:50|800-572-6267||unknown-email|unknown-quantity|what-is-this|11.165|2.53333333333333|16.0326593510383|68.9772047008919
|25642132|HOUSTON, TX|TEXAS CITY, TX|2020-07-21 09:00:01|2020-07-21 09:36:32|TEXAS CITY, TX|GONZALES, TX|29.395283;-94.91759|29.510439;-97.45352|2020-07-21 10:47:48 |2020-07-21 13:44:17 |GLOBALTR|500|18.8078146486547|TX|132.835411677699|Van|PASSED|DRY|DAY CAB|HTN|2020-07-21 09:00:01|2020-07-21 09:36:32|855-444-6608|43000 |unknown-email|unknown-quantity|what-is-this|8.16555555555556|6.93333333333333|291.686032783626|481.192185351345
|25642181|HOUSTON, TX|TEXAS CITY, TX|2020-07-21 09:00:01|2020-07-21 09:36:32|TEXAS CITY, TX|GONZALES, TX|29.395283;-94.91759|29.510439;-97.45352|2020-07-21 10:47:48 |2020-07-21 13:44:17 |GLOBALTR|500|18.8078146486547|TX|132.835411677699|Van|PASSED|DRY|DAY CAB|HTN|2020-07-21 09:00:01|2020-07-21 09:36:32|855-444-6608|43000 |unknown-email|unknown-quantity|what-is-this|8.16555555555556|6.93333333333333|291.686032783626|481.192185351345
|25642296|HOUSTON, TX|DALLAS, TX|2020-07-21 09:00:01|2020-07-21 13:04:47|DALLAS, TX|HOUSTON, TX|32.787629;-96.79941|29.711257;-95.304936|2020-07-21 14:10:45 |2020-07-21 18:14:34 |AS LOGIS|682|625.716477363391|TX|231.68039060502|Van|PASSED|DRY|DAY CAB|HTN|2020-07-21 09:00:01|2020-07-21 13:04:47|513-869-3182|32515 |unknown-email|unknown-quantity|what-is-this|10.4555555555556|2.3|9.18264630221085|56.2835226366088
|25642318|HOUSTON, TX|DALLAS, TX|2020-07-21 09:00:01|2020-07-21 13:04:47|DALLAS, TX|HOUSTON, TX|32.787629;-96.79941|29.711257;-95.304936|2020-07-21 14:10:45 |2020-07-21 18:14:34 |SCHNEIDE|682|625.716477363391|TX|231.68039060502|Van|PASSED|DRY|DAY CAB|HTN|2020-07-21 09:00:01|2020-07-21 13:04:47|800-558-3957|42500 |unknown-email|unknown-quantity|what-is-this|10.4555555555556|2.3|9.18264630221085|56.2835226366088
|25642326|HOUSTON, TX|DALLAS, TX|2020-07-21 09:00:01|2020-07-21 13:04:47|DALLAS, TX|HOUSTON, TX|32.787629;-96.79941|29.711257;-95.304936|2020-07-21 14:10:45 |2020-07-21 18:14:34 |REDWOOD|682|625.716477363391|TX|231.68039060502|Van|PASSED|DRY|DAY CAB|HTN|2020-07-21 09:00:01|2020-07-21 13:04:47|312-698-8109||unknown-email|unknown-quantity|what-is-this|10.4555555555556|2.3|9.18264630221085|56.2835226366088
|25642333|HOUSTON, TX|DALLAS, TX|2020-07-21 09:00:01|2020-07-21 13:04:47|DALLAS, TX|HOUSTON, TX|32.787629;-96.79941|29.711257;-95.304936|2020-07-21 14:10:45 |2020-07-21 18:14:34 |J H ROSE|682|625.716477363391|TX|231.68039060502|Van|PASSED|DRY|DAY CAB|HTN|2020-07-21 09:00:01|2020-07-21 13:04:47|956-217-5269||unknown-email|unknown-quantity|what-is-this|10.4555555555556|2.3|9.18264630221085|56.2835226366088
|25642355|HOUSTON, TX|DALLAS, TX|2020-07-21 09:00:01|2020-07-21 13:04:47|DALLAS, TX|HOUSTON, TX|32.787629;-96.79941|29.711257;-95.304936|2020-07-21 14:10:45 |2020-07-21 18:14:34 |REDWOOD|682|625.716477363391|TX|231.68039060502|Van|PASSED|DRY|DAY CAB|HTN|2020-07-21 09:00:01|2020-07-21 13:04:47|312-698-8109||unknown-email|unknown-quantity|what-is-this|10.4555555555556|2.3|9.18264630221085|56.2835226366088
