Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit
"veh-25704314","25704314","MILWAUKIE, OR","MEDFORD, OR","","1562553580","ERH LOGI","205-957-3525","ANDERSON, CA","PORTLAND, OR","136.660991462339","349","823.802696741107"
"veh-25705321","25705321","PORTLAND, OR","EUGENE, OR","","1562552320","ERH LOGI","205-957-3525","ANDERSON, CA","Washougal, WA","451.831185454907","837","291.18720116321"
"veh-25704314","25704314","MILWAUKIE, OR","MEDFORD, OR","","1562552653","ERH LOGI","205-957-3525","ANDERSON, CA","Woodburn, OR","93.1785700970584","313","286.967953952138"
"veh-25702196","25702196","PORTLAND, OR","PENDLETON, OR","","1575231356","Client A","702-985-2254","Hermiston, OR","Portland, OR","15.037841599662","152","607.196680245732"
"veh-25702196","25702196","PORTLAND, OR","PENDLETON, OR","","1575231355","Client A","702-985-2254","Hermiston, OR","Seattle, WA","249.432065318702","438","286.422162923932"
"veh-25705309","25705309","MILWAUKIE, OR","RENTON, WA","","1568164068","EVERGREE","509-321-4382","kennewick, wa","portland, or","198.974734984528","361","96.3204793849238"
"veh-25705311","25705311","MILWAUKIE, OR","ARLINGTON, WA","","1580477324","AAA LOGI","561-249-4680","lyle, wa","rainier, or","183.162041582264","593","88.5741242662624"
"veh-25705308","25705308","MILWAUKIE, OR","RENTON, WA","","1579595969","AAA LOGI","561-249-4680","Lyle, Wa","Rainier, Or","174.024755489828","629","87.5001218553362"
"veh-25705307","25705307","MILWAUKIE, OR","UNION GAP, WA","","1576493116","EVERGREE","509-321-4382","parker, wa","bremerton, wa","176.834603004959","154","290.617835120816"
"veh-25705307","25705307","MILWAUKIE, OR","UNION GAP, WA","","1576495132","EVERGREE","509-321-4382","parker, wa","longview, wa","59.423738924031","20","323.293321402977"
"veh-25705307","25705307","MILWAUKIE, OR","UNION GAP, WA","","1576495133","EVERGREE","509-321-4382","parker, wa","longview, wa","59.423738924031","20","323.293321402977"
"veh-25705307","25705307","MILWAUKIE, OR","UNION GAP, WA","","1579239923","EVERGREE","509-321-4382","PARKER, WA","VANCOUVER, WA","37.2891992990916","231","279.922744827072"
"veh-25705307","25705307","MILWAUKIE, OR","UNION GAP, WA","","1579239959","EVERGREE","509-321-4382","PARKER, WA","VANCOUVER, WA","37.2891992990916","231","279.922744827072"
"veh-25702196","25702196","PORTLAND, OR","PENDLETON, OR","","1580417082","CENTRAL ","503-266-8660","Pendleton, or","Kent, wa","228.263138926516","409","295.952162733377"
"veh-25705310","25705310","MILWAUKIE, OR","EUGENE, OR","","1545743500","ONE HORN","435-229-6077","Redding, CA","Portland, OR","455.633365230467","887","450.233962361382"
"veh-25705310","25705310","MILWAUKIE, OR","EUGENE, OR","","1568504419","BROTHERS","541-727-7799","Redding, CA","Portland, OR","455.633365230467","887","420.233962361382"
"veh-25705321","25705321","PORTLAND, OR","EUGENE, OR","","1579959454","GLOBALTR","480-291-6100","Redding, CA","Portland, OR","438.818397603987","856","350.284957493962"
"veh-25704314","25704314","MILWAUKIE, OR","MEDFORD, OR","","1571884252","AMERICAN","541-826-5277","REDDING, CA","PORTLAND, OR","134.955323300235","396","1010.33671850572"
"veh-25705321","25705321","PORTLAND, OR","EUGENE, OR","","1562783023","PDX FREI","503-303-0400","salem, or","puyallup, wa","273.322604297414","458","226.644660262385"
"veh-25704314","25704314","MILWAUKIE, OR","MEDFORD, OR","","1579806075","ERH LOGI","205-957-3525","SHASTA LAKE, CA","PORTLAND, OR","134.955323300235","396","810.336718505723"
"veh-25702195","25702195","PORTLAND, OR","PUYALLUP, WA","","1548734101","LANDSTAR","832-303-6234","Tacoma, WA","Portland, OR","43.7427765419365","247","367.038190347182"
"veh-25704314","25704314","MILWAUKIE, OR","MEDFORD, OR","","1579685549","CREST TR","541-973-2330","talent, OR","hood river, OR","126.523295263897","308","249.267844921935"
