_id_|RPM|RATE|Market rate|COMPANY|PHONE|TRLR|PICKUP|ORIGIN CITY|DIST|DESTINATION CITY|DIST|WEIGHT|MILES
1||||TTS LLC|972-924-9919|VR|44041|FORT WORTH|33|MISSOURI CITY|20||278
2||||SCOTT LO|706-314-0500|V|44041|DALLAS|0|SEALY|47|20000|240
3||||UNIVERSA|615-986-7163|V|44041|HASLET|37|HOUSTON|0|19455|277
4||||UNIVERSA|615-986-7163|V|44041|HUTCHINS|20|HOUSTON|0|40000|227
5||||AVENGER|423-708-3700|V|44041|GRAND PRAIRIE|15|PALESTINE|150|16331|125
6||||ROAR LOG|716-775-6208|VR|44041|FORT WORTH|33|BROOKSHIRE|35|41052|256
7|$2.68|$700.00||CHOPTANK|800-568-2240|VR|44041|FORT WORTH|33|HOUSTON|0|16192|261
8|$2.07|$601.00||CHOPTANK|800-568-2240|V|44041|FORT WORTH|33|DAYTON|40|37812|291
9||||BLUE LIN|651-414-0805|VR|44041|DALLAS|0|HOUSTON|0|40000|240
10||||CENTRAL|317-558-9970|VR|44041|DALLAS|0|HOUSTON|0|41479|240
11||||SCHNEIDE|800-558-3957|V|44041|SHERMAN|60|HOUSTON|13|22000|314
12|$2.39|$625.00||CHOPTANK|800-568-2240|VR|44041|FORT WORTH|33|HOUSTON|0||261
13||||EPES LOG|866-247-0691|V|44041|ROANOKE|29|BROOKSHIRE|35|30656|300
14||||EPES LOG|866-247-0691|V|44041|ROANOKE|29|BROOKSHIRE|35|20709|300
15|$1.90|$650.00||WHITE LI|2165457447|V|44041|CARROLLTON|16|PORT ARTHUR|93|11500|343
16||||BNSF LOG|866-622-9910|V|44041|ABILENE|0|HUNTSVILLE|69|43240|340
17||||DRT TRAN|281-341-9500|VR|44041|ABILENE|0|HUNTSVILLE|69|23400|340
18|$2.49|$570.00||BNSF LOG|866-622-9910|V|44041|ABILENE|0|HUNTSVILLE|69|43240|340
19||||LANDSTAR|479-435-7315|V|44041|AMARILLO|0|DALLAS|241|45384|365
20||||LANDSTAR|479-435-7315|V|44041|AMARILLO|0|DALLAS|241|45384|365
21||||MALLORY|888-544-6095|V|44041|AMARILLO|0|DALLAS|241|44000|365
22||||RT & T L|815-261-1217|V|44041|AMARILLO|0|DALLAS|241|45000|365
23||||RT & T L|815-261-1217|V|44041|AMARILLO|0|DALLAS|241|45000|365
24||||RT & T L|815-261-1217|V|44041|AMARILLO|0|DALLAS|241|45000|365
25||||FTS LOGI|877-362-0052|V|44041|AMARILLO|0|DALLAS|241||365
26||||XPO LOGI|847-234-6360|V|44041|AUSTIN|0|COPPELL|259|42688|215
27||||XPO LOGI|847-234-6360|V|44041|AUSTIN|0|DALLAS|241|42693|196
28||||XPO LOGI|800-397-7305|V|44041|AUSTIN|0|FORNEY|239|44000|216
29||||RYAN TRA|888-492-3627|V|44041|AUSTIN|0|FARMERS BRANCH|249|44000|207
30||||LANDSTAR|412-264-1954|V|44041|BALCH SPRINGS|0|FORT WORTH|260|35000|46
31||||LANDSTAR|412-264-1954|V|44041|BALCH SPRINGS|0|FORT WORTH|260|35000|46
32||||LANDSTAR|972-636-0009|V|44041|BAYTOWN|0|ENNIS|205|42000|227
33||||C H ROBI|833-428-5247|VR|44041|BAYTOWN|0|AUSTIN|158|45200|187
34||||GREATWID|704-282-1919|V|44041|BON WIER|0|DALLAS|241|41000|253
35||||J H ROSE|956-217-5260|VR|44041|BROWNSVILLE|0|FORT WORTH|260||537
36||||SCHNEIDE|800-558-3957|V|44041|BROWNSVILLE|0|FORT WORTH|260|45000|538
37||||RECOUP I|732-744-1411|V|DAILY|BROWNSVILLE|0|HOUSTON|0|45000|356
38||||DRT TRAN|281-341-9500|V|44041|BRYAN|0|GREENVILLE|257|30000|229
39||||DRT TRAN|281-341-9500|V|44041|BRYAN|0|GREENVILLE|257|30000|229
40||||WHITE LI|2165457447|V|44041|CARROLLTON|0|PORT ARTHUR|93|11500|343
41||||SCHNEIDE|800-558-3957|V|44041|CHANNELVIEW|0|FORT WORTH|252|38256|268
42|$3.17|$409.00||HOGAN LO|800-788-2220|V|44041|CLARKSVILLE|0|SELMA|183|37314|391
43|$3.13|$250.00||HUB HIGH|412-787-6248|V|44041|CONROE|0|DALLAS|241|7520|202
44|$2.12|$1,350.00||RYAN TRA|888-492-8107|VR|44041|CORPUS CHRISTI|0|PLANO|255|42500|432
45|$2.81|$550.00||GO TO TR|847-508-7965|V|44041|COYANOSA|0|HOUSTON|0||537
46|$3.10|$850.00||MANDUJAN|432-940-9968|VR|DAILY|COYANOSA|0|SAN ANTONIO|195||342
47|$3.41|$825.00||RED RIVE|817-697-4310|V|44041|DALLAS|0|ROUND ROCK|160|30000|178
48||||UPDIKE D|602-682-1789|V|44041|DALLAS|0|MOUNT PLEASANT|256||118
49||||RGL SPEC|920-471-4456|V|44041|DALLAS|0|CORPUS CHRISTI|205|37260|412
50||||MODE TRA|866-712-4410|V|44041|DALLAS|0|SAN ANTONIO|221|44000|275
51||||MID AMER|636-226-4770|VR|44041|DAWN|0|LAMPASAS|203||434
52||||TOTAL QU|800-580-3101|VR|44041|DENISON|0|LEWISVILLE|261|27000|68
53|$2.29|$800.00||SCHNEIDE|800-558-3957|V|44041|EAGLE PASS|0|CORPUS CHRISTI|205|15736|222
54|$3.01|$1,100.00||TRINITY|806-590-8102|VR|44041|EDINBURG|0|HOUSTON|0|40600|338
55||||AMERICAN|850-233-9939|VR|44041|EDINBURG|0|HOUSTON|0|43350|338
56|$2.15|$550.00||COVENANT|423-702-2844|V|44041|EL PASO|0|DESOTO|230||636
57|$2.81|$500.00||COVENANT|423-702-2844|V|44041|EL PASO|0|DESOTO|230||636
58|$2.12|$508.00||GILTNER|208-432-1059|V|44041|EL PASO|0|DALLAS|241|10000|637
59||||LANDSTAR|256-467-2179|V|44041|EL PASO|0|FORT WORTH|260|35000|605
60||||LANDSTAR|904-417-7888|V|44041|EL PASO|0|FORT WORTH|260|30000|605
61|$3.60|$425.00||LANDSTAR|904-417-7888|V|44041|EL PASO|0|FORT WORTH|260|30000|605
62||||LANDSTAR|904-417-7888|V|44041|EL PASO|0|FORT WORTH|260|30000|605
63||||LANDSTAR|904-417-7888|V|44041|EL PASO|0|FORT WORTH|260|30000|605
64|$1.84|$800.00||LANDSTAR|904-417-7888|V|44041|EL PASO|0|FORT WORTH|260|30000|605
65||||KNIGHT -|800-477-8025|V|44041|EL PASO|0|DESOTO|230|3640|636
66||||LOKE GLO|952-583-9271|V|44041|EL PASO|0|DALLAS|241|33000|637
67|$1.41|$900.00||LIBERTY|8324620903|V|44041|EL PASO|0|HOUSTON|0||747
68||||R2 LOGIS|423-497-1430|V|44041|EL PASO|0|DALLAS|241|10000|637
69||||TRIPOINT|215-716-1642|VR|44041|EL PASO|0|GEORGETOWN|167|44000|603
