Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit
"veh-25698029","25698029","PORTLAND, OR","BELLINGHAM, WA","","8","FAK INC","720-880-1527","BELLEVUE, WA","PORTLAND, OR","27.382032385947","156","416.313201784582"
"veh-25698031","25698031","PORTLAND, OR","ARLINGTON, WA","","34","FAK INC","402-779-5762","BELLEVUE, WA","PORTLAND, OR","24.6392931263748","143","373.830967444211"
"veh-25698012","25698012","MILWAUKIE, OR","HAYDEN, ID","","43","ENGLAND","800-321-5966","BURBANK, WA","WILSONVILLE, OR","61.929113798203","212","357.104979051454"
"veh-25694387","25694387","MILWAUKIE, OR","ANCHORAGE, AK","","46","ENGLAND","800-321-5966","BURBANK, WA","WILSONVILLE, OR","62.1030981644649","213","356.570344165931"
"veh-25695305","25695305","PORTLAND, OR","ANCHORAGE, AK","","45","ENGLAND","800-321-5966","BURBANK, WA","WILSONVILLE, OR","62.1030981644649","213","356.570344165931"
"veh-25698015","25698015","MILWAUKIE, OR","SPOKANE, WA","","47","ENGLAND","800-321-5966","BURBANK, WA","WILSONVILLE, OR","62.1030981644649","213","356.570344165931"
"veh-25698028","25698028","PORTLAND, OR","ANCHORAGE, AK","","44","ENGLAND","800-321-5966","BURBANK, WA","WILSONVILLE, OR","62.1030981644649","213","356.570344165931"
"veh-25693055","25693055","PORTLAND, OR","WARRENTON, OR","","35","C H ROBI","833-428-5247","DUPONT, WA","CLACKAMAS, OR","177.14404662781","402","158.578024979184"
"veh-25698015","25698015","MILWAUKIE, OR","SPOKANE, WA","","29","TA SERVI","205-702-6809","KENT, WA","PORTLAND, OR","125.164974461581","218","280.510663468668"
"veh-25689560","25689560","PORTLAND, OR","CLE ELUM, WA","","20","USA TRUC","253-765-2075","KENT, WA","TROUTDALE, OR","33.8182111921657","127","455.269177459911"
"veh-25698027","25698027","PORTLAND, OR","FAIRBANKS, AK","","28","NT LOGIS","469-362-5050","KENT, WA","VANCOUVER, WA","114.714727776604","231","288.560621223607"
"veh-25698031","25698031","PORTLAND, OR","ARLINGTON, WA","","27","NT LOGIS","469-362-5050","KENT, WA","WARRENTON, OR","129.737656430586","407","212.870898745241"
"veh-25689541","25689541","PORTLAND, OR","WARRENTON, OR","","42","INTERNAT","800-652-1682","MEDFORD, OR","PORTLAND, OR","558.041805957722","902","782.452002303222"
"veh-25698012","25698012","MILWAUKIE, OR","HAYDEN, ID","","53","TOTAL QU","800-580-3101","OLDTOWN, ID","DAYTON, OR","117.006971802105","279","270.047773273516"
"veh-25695305","25695305","PORTLAND, OR","ANCHORAGE, AK","","58","TOTAL QU","800-580-3101","OLDTOWN, ID","DAYTON, OR","155.41215653622","376","192.784321953927"
"veh-25698027","25698027","PORTLAND, OR","FAIRBANKS, AK","","57","TOTAL QU","800-580-3101","OLDTOWN, ID","DAYTON, OR","155.41215653622","376","192.784321953927"
"veh-25698012","25698012","MILWAUKIE, OR","HAYDEN, ID","","54","TOTAL QU","800-580-3101","OLDTOWN, ID","MCMINNVILLE, OR","125.967788037332","292","255.192676782615"
"veh-25698012","25698012","MILWAUKIE, OR","HAYDEN, ID","","56","TOTAL QU","800-580-3101","OLDTOWN, ID","PORTLAND, OR","58.243752097133","206","363.429705858716"
"veh-25693055","25693055","PORTLAND, OR","WARRENTON, OR","","14","USA TRUC","253-765-2075","PUYALLUP, WA","GRESHAM, OR","212.676003827656","501","84.0463154833659"
"veh-25689560","25689560","PORTLAND, OR","CLE ELUM, WA","","18","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","32.7413722395516","143","357.270514090662"
"veh-25695305","25695305","PORTLAND, OR","ANCHORAGE, AK","","19","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","119.933016018989","255","217.499041097593"
"veh-25698027","25698027","PORTLAND, OR","FAIRBANKS, AK","","21","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","119.933016018989","255","217.499041097593"
"veh-25689541","25689541","PORTLAND, OR","WARRENTON, OR","","12","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","218.126064100812","481","27.201911027709"
"veh-25693055","25693055","PORTLAND, OR","WARRENTON, OR","","17","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","218.126064100812","481","27.201911027709"
"veh-25693055","25693055","PORTLAND, OR","WARRENTON, OR","","16","USA TRUC","253-765-2075","PUYALLUP, WA","PORTLAND, OR","218.126064100812","481","27.201911027709"
"veh-25694387","25694387","MILWAUKIE, OR","ANCHORAGE, AK","","15","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","178.039444741323","325","182.880121871906"
"veh-25698015","25698015","MILWAUKIE, OR","SPOKANE, WA","","11","USA TRUC","253-765-2075","PUYALLUP, WA","SALEM, OR","178.039444741323","325","182.880121871906"
